postcode_heuristic, commute_time
197.10274163961435, 0.17
942.1646814845395, 1.92
1015.8968879742014, 0.42
239.97978383531847, 0.11
353.9568053389472, 0.0
542.4077890576273, 0.13
774.7642665409131, 0.64
807.7630868629674, 0.25
534.8814374616152, 0.91
1301.5806955908897, 0.0
139.9988990133961, 0.0
865.1197896593565, 0.41
1067.2682026553093, 0.57
1969.3088922800257, 2.97
62.38330250718239, 0.07
3698.9385398451755, 0.0
934.1544672573701, 0.13
68.91185588787457, 0.06
324.7441384000962, 0.31
486.16973969312033, 0.0
755.9907897489006, 0.65
2681.551784296995, 0.38
1491.2161391476834, 0.05
265.8475857852675, 0.02
2531.9418765780683, 0.61
967.1102889553079, 0.18
1837.8881867845405, 2.49
0.0, 0.0
0.0, 0.0
859.1629078525826, 0.44
371.0124138926228, 0.0
227.7263952287956, 0.05
884.5244282065203, 0.29
125.70287942943726, 0.23
452.0010545865085, 0.73
263.5677040805436, 0.03
847.0372188259727, 0.28
638.0097416119339, 0.33
176.9235583643104, 0.21
219.36179658795623, 0.2
40.33252017271711, 0.1
344.59328371355224, 0.08
621.5763977790382, 0.69
477.39061345238804, 0.4
978.382578565313, 0.32
1394.62787109452, 0.0
2093.894545654618, 0.92
609.992428317884, 0.31
1462.5677905423127, 2.72
0.0, 0.0
1281.6515571898026, 0.32
554.2624307017269, 0.21
1237.2263341154, 0.51
2537.270710557293, 0.52
0.0, 0.0
364.23879320045444, 0.49
684.5091477816932, 0.48
1480.6051113161002, 2.12
311.0645950906981, 0.19
2811.6999087437525, 1.18
1436.1905703211842, 0.44
0.0, 0.0
83.58209203905322, 0.07
692.3591436939316, 0.19
1048.6973740754345, 0.27
0.0, 0.0
438.00946644079767, 0.18
1331.1568071349848, 0.67
2729.7733615580605, 0.34
245.51405812868305, 0.22
918.1974630559838, 0.35
483.3571644185576, 0.0
672.5358053138574, 0.21
1673.3571602330057, 0.78
20.056962379043657, 0.0
156.55360621875812, 0.15
189.49135008245415, 0.12
1166.9651886626768, 0.38
2057.907566067053, 0.36
3158.029313216829, 2.77
869.5624637895007, 0.67
303.29407758512554, 0.0
526.6297925613615, 0.26
606.6614356278054, 0.32
490.43408285186274, 0.25
2630.900350628196, 0.01
331.60599342827146, 0.36
359.42803663807894, 0.05
699.9043894233472, 0.16
417.99388056007876, 0.24
2094.4898211475243, 0.87
11.635246515477132, 0.0
536.1739387204718, 0.01
1160.5968609928452, 0.44
1337.883471543781, 0.49
587.9466010420592, 0.43
3431.9407822105095, 3.42
580.6593380589214, 0.42
654.064732635504, 0.14
0.0, 0.0
1000.07366689286, 0.34
1170.4990681425463, 0.42
0.0, 0.0
1071.3644407874658, 0.31
155.01328682157268, 0.22
606.0535870585973, 0.09
1938.300407718745, 1.62
93.56679323079341, 0.14
228.79935512513083, 0.13
751.719312063227, 0.76
135.53317980904907, 0.0
2709.960761556368, 1.51
885.3786319134894, 0.09
286.62496816868395, 0.11
254.7419039078151, 0.34
680.1148353149833, 0.24
788.356636275637, 0.42
399.5456642349156, 0.0
644.5251832342758, 0.47
1806.312766022491, 1.3
200.54566324322192, 0.14
1086.6355095079393, 0.59
0.0, 0.0
115.16332692186023, 0.0
71.586265425143, 0.06
234.96004206591172, 0.08
986.9887043278296, 0.24
1291.425098340332, 1.02
256.2629124495398, 0.15
309.7834823772407, 0.62
224.82566531636525, 0.08
0.0, 0.0
174.71574318498875, 0.26
225.16810667144907, 0.2
1067.5544879613717, 0.23
146.05047276551872, 0.0
945.6192965084035, 1.23
879.541564543842, 0.28
1653.7776803783986, 0.4
942.2914370694276, 0.75
335.32269675165975, 0.26
929.2648838197322, 0.41
733.7941197334216, 0.31
297.66567597595605, 0.11
716.8453387539198, 0.0
292.17438013135427, 0.26
714.5827740934235, 0.15
537.4308165394759, 0.5
363.7547641812831, 0.37
829.8617167176187, 0.11
400.1081467548048, 0.01
399.8248423626143, 0.11
264.8652754163131, 0.0
272.44365129283915, 0.0
1031.5187725437358, 0.16
931.030808427204, 0.45
632.4084623893866, 0.32
516.6264156045747, 0.18
240.67069242217974, 0.45
604.7987734598966, 0.11
147.67177539512136, 0.06
521.947957533763, 0.75
228.22338528373783, 0.09
509.40522062380705, 0.08
217.6519232799153, 0.16
2709.1212079449824, 1.77
155.21764523359585, 0.37
899.631447657456, 0.27
1383.7989561342868, 0.72
931.7024966312752, 0.75
1455.5332802304074, 0.46
393.81726419780426, 0.15
858.9634186066647, 0.38
109.64246381057399, 0.0
2580.172715780828, 0.64
57.675942117930894, 0.0
910.0491629556435, 2.06
658.8219805333453, 0.68
186.51337704627588, 0.35
1390.7536140259235, 0.41
